Associated Gene Name	Gene Start (bp)	Gene End (bp)	MIM Morbid Accession	MIM Morbid Description	Ensembl Gene ID	Description	Gene type
ACOT13	24667263	24705293			ENSG00000112304	acyl-CoA thioesterase 13 [Source:HGNC Symbol;Acc:20999]	protein_coding
KDM1B	18155560	18224084			ENSG00000165097	lysine (K)-specific demethylase 1B [Source:HGNC Symbol;Acc:21577]	protein_coding
DEFB133	49913814	49917157			ENSG00000214643	defensin, beta 133 [Source:HGNC Symbol;Acc:31331]	protein_coding
DEFB114	49927962	49931818			ENSG00000177684	defensin, beta 114 [Source:HGNC Symbol;Acc:18095]	protein_coding
RP1-72E17.2	3694157	3694309			ENSG00000270477		pseudogene
RP11-420L9.5	3751345	3754105			ENSG00000270504		antisense
RP11-420L9.2	3754333	3755074			ENSG00000219992		pseudogene
RP11-420L9.4	3832167	3855971			ENSG00000238158		sense_overlapping
SNRPC	34725183	34741571			ENSG00000124562	small nuclear ribonucleoprotein polypeptide C [Source:HGNC Symbol;Acc:11157]	protein_coding
RP1-140K8.1	3893360	3894524			ENSG00000233068		lincRNA
RP1-140K8.5	3905144	3912213			ENSG00000260604		lincRNA
OR4F7P	170948694	170949624			ENSG00000217874	olfactory receptor, family 4, subfamily F, member 7 pseudogene [Source:HGNC Symbol;Acc:15089]	pseudogene
RP1-140K8.2	3914156	3914526			ENSG00000218472		pseudogene
XX-C2158C12.1	171004401	171006038			ENSG00000234986		lincRNA
RP1-140K8.3	3922081	3922380			ENSG00000217135		pseudogene
TDGF1P4	3941516	3942035			ENSG00000217566	teratocarcinoma-derived growth factor 1 pseudogene 4 [Source:HGNC Symbol;Acc:11704]	pseudogene
RP1-249I4.2	110147725	110149988			ENSG00000232311		lincRNA
XX-C2158C12.2	171034285	171037576			ENSG00000213863		lincRNA
XX-C2158C6.1	171044839	171045633			ENSG00000230423		lincRNA
RN7SL617P	110761202	110761506			ENSG00000241162	RNA, 7SL, cytoplasmic 617, pseudogene [Source:HGNC Symbol;Acc:46633]	misc_RNA
RP3-406P24.1	3978296	3979333			ENSG00000216657		pseudogene
CTA-331P3.1	110799110	110800639			ENSG00000260188		antisense
ALDH8A1	135238528	135271260			ENSG00000118514	aldehyde dehydrogenase 8 family, member A1 [Source:HGNC Symbol;Acc:15471]	protein_coding
XX-C2158C6.3	171045261	171046865			ENSG00000225532		lincRNA
DNPH1	43193367	43197222			ENSG00000112667	2'-deoxynucleoside 5'-phosphate N-hydrolase 1 [Source:HGNC Symbol;Acc:21218]	protein_coding
RP11-346C16.4	110883378	110883818			ENSG00000219559		pseudogene
XX-C2158C6.2	171054606	171055065			ENSG00000219814		pseudogene
RP3-406P24.4	4018947	4019436			ENSG00000272248		lincRNA
RP11-346C16.6	110919296	110919908			ENSG00000270934		pseudogene
RP3-406P24.3	4019077	4021449			ENSG00000230648		antisense
CSNK2B-LY6G5B-1181	31633879	31641323			ENSG00000263020	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:H0Y6P8]	protein_coding
snoU13	4076623	4076707			ENSG00000252668	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
RP11-346C16.2	110966902	110967761			ENSG00000213150		pseudogene
RP11-346C16.1	111021765	111022103			ENSG00000217041		pseudogene
RP3-400B16.4	4135657	4146287			ENSG00000254821		antisense
RP11-569A2.2	111027565	111028085			ENSG00000219150		pseudogene
RP3-400B16.1	4136306	4157619			ENSG00000234817		lincRNA
RNU6-957P	111043453	111043551			ENSG00000200522	RNA, U6 small nuclear 957, pseudogene [Source:HGNC Symbol;Acc:47920]	snRNA
RP3-400B16.3	4186858	4188343			ENSG00000237716		lincRNA
SNORA40	111169749	111169876			ENSG00000212587	Small nucleolar RNA SNORA40 [Source:RFAM;Acc:RF00561]	snoRNA
RP3-400B16.2	4189350	4190040			ENSG00000216307		pseudogene
RNU6-1115P	111177620	111177725			ENSG00000199360	RNA, U6 small nuclear 1115, pseudogene [Source:HGNC Symbol;Acc:48078]	snRNA
RP3-527G5.1	4345977	4347271			ENSG00000231811		lincRNA
CNN2P9	111179442	111180350			ENSG00000213149	calponin 2 pseudogene 9 [Source:HGNC Symbol;Acc:39534]	pseudogene
LY6G5B	31637944	31641553			ENSG00000240053	lymphocyte antigen 6 complex, locus G5B [Source:HGNC Symbol;Acc:13931]	protein_coding
RNA5SP202	4428197	4428315			ENSG00000201185	RNA, 5S ribosomal pseudogene 202 [Source:HGNC Symbol;Acc:43102]	rRNA
RP11-274H24.1	4492041	4496003			ENSG00000260239		lincRNA
RP11-570K4.1	40681150	40683102			ENSG00000237947		lincRNA
RP3-418A9.3	111185063	111185654			ENSG00000271607		pseudogene
PNPLA1	36210980	36276372	615024	 ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 10; ARCI10	ENSG00000180316	patatin-like phospholipase domain containing 1 [Source:HGNC Symbol;Acc:21246]	protein_coding
RP1-21P18.1	4529956	4530242			ENSG00000270695		pseudogene
RP4-529N6.2	4599521	4602654			ENSG00000260673		lincRNA
RP11-397G5.2	111244769	111245310			ENSG00000219329		pseudogene
snoU13	111284669	111284772			ENSG00000238775	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
GRM1	146348782	146758734	614831	 SPINOCEREBELLAR ATAXIA, AUTOSOMAL RECESSIVE 13; SCAR13	ENSG00000152822	glutamate receptor, metabotropic 1 [Source:HGNC Symbol;Acc:4593]	protein_coding
RP4-529N6.1	4610890	4611538			ENSG00000205444		lincRNA
AL357515.1	111290976	111291075			ENSG00000266032		miRNA
ADCY10P1	41068761	41108571			ENSG00000161912	adenylate cyclase 10 (soluble) pseudogene 1 [Source:HGNC Symbol;Acc:44143]	pseudogene
RNU6-906P	111329473	111329579			ENSG00000207431	RNA, U6 small nuclear 906, pseudogene [Source:HGNC Symbol;Acc:47869]	snRNA
GSTM2P1	111368071	111368724			ENSG00000218803	glutathione S-transferase mu 2 (muscle) pseudogene 1 [Source:HGNC Symbol;Acc:38009]	pseudogene
snoU13	4643996	4644088			ENSG00000238801	Small nucleolar RNA U13 [Source:RFAM;Acc:RF01210]	snoRNA
PSMC1P11	4702697	4704013			ENSG00000217385	proteasome (prosome, macropain) 26S subunit, ATPase, 1 pseudogene 11 [Source:HGNC Symbol;Acc:39786]	pseudogene
RP3-430A16.1	4774760	4775642			ENSG00000236336		antisense
RNU6-960P	111412416	111412535			ENSG00000200926	RNA, U6 small nuclear 960, pseudogene [Source:HGNC Symbol;Acc:47923]	snRNA
RP11-428F8.2	111548950	111580237			ENSG00000231046		antisense
RP11-428J1.2	4979306	4979728			ENSG00000217030		pseudogene
RP5-1112D6.4	111599135	111599945			ENSG00000230177		antisense
IL22RA2	137464968	137494785			ENSG00000164485	interleukin 22 receptor, alpha 2 [Source:HGNC Symbol;Acc:14901]	protein_coding
RP11-428J1.5	5030206	5043683			ENSG00000272142		lincRNA
RP5-1112D6.7	111618329	111619713			ENSG00000271789		lincRNA
RP5-1112D6.8	111630406	111634720			ENSG00000272356		antisense
FCF1P5	111674905	111675386			ENSG00000220392	FCF1 pseudogene 5 [Source:HGNC Symbol;Acc:44617]	pseudogene
