Associated Gene Name	Gene Start (bp)	Gene End (bp)	MIM Morbid Description	MIM Morbid Accession	Ensembl Gene ID
RP11-330A16.1	14597514	14599690			ENSG00000229646
HNRNPLP1	7481094	7482594			ENSG00000233503
RP1-140K8.1	3893126	3894292			ENSG00000233068
RP11-288G3.3	7506203	7506549			ENSG00000219993
RP1-140K8.5	3904920	3911979			ENSG00000260604
RP11-288G3.4	7516600	7517840			ENSG00000234115
RP1-140K8.2	3913922	3914292			ENSG00000218472
RP3-512B11.3	7540451	7541338			ENSG00000261189
RP1-140K8.3	3921847	3922146			ENSG00000217135
MCCD1P1	29907783	29908645			ENSG00000235963
TDGF1P4	3941282	3941801			ENSG00000217566
GLRX3P2	3978062	3979099			ENSG00000216657
ZKSCAN3	28349914	28369177			ENSG00000189298
RP3-510O8.4	35733867	35736947			ENSG00000232909
HLA-H	29887752	29890482			ENSG00000206341
HCG4P5	29942075	29943067			ENSG00000227766
BTN1A1	26501221	26510422			ENSG00000124557
MCUR1	13786557	13814568			ENSG00000050393
HLA-G	29826967	29831125			ENSG00000204632
MCFD2P1	27407697	27407996			ENSG00000237154
RP1-223E5.4	13614111	13615155			ENSG00000261071
SLC22A7	43295694	43305538			ENSG00000137204
PPP1R14BP5	126257921	126258355			ENSG00000213133
RP11-354K4.2	76774983	76775860			ENSG00000271945
GAPDHP73	135619165	135620171			ENSG00000226540
RP11-331O9.5	153668177	153668362			ENSG00000220733
ZBTB2	151364117	151391548			ENSG00000181472
RP11-137J7.3	142062717	142063053			ENSG00000270983
RP11-274E6.1	77343557	77343654			ENSG00000276064
RP11-137J7.2	142088233	142089219			ENSG00000236822
HMGB1P17	135636086	135636713			ENSG00000217482
RP11-390P2.2	138650226	138650973			ENSG00000216802
MARCKSL1P2	138402585	138403560			ENSG00000215878
HTR1B	77462205	77463464			ENSG00000135312
RP1-179N16.3	36091991	36092646			ENSG00000237719
SLC17A4	25754699	25781191			ENSG00000146039
RP11-43P8.2	138464099	138464383			ENSG00000274594
PM20D2	89146050	89165565			ENSG00000146281
RP11-15G8.1	154706643	154707795			ENSG00000205625
MIR5689	10439717	10439794			ENSG00000263705
KPNA5	116681187	116741866			ENSG00000196911
